   Current data set:
   NAME =	MJG_MN480-CR-Z85754	EXPNO =	10	PROCNO = 1
   DU   =	C:/Users/Manuel/Desktop/chemistry/Cambridge/NMR

   Number   Integrated Region     Integral
     1      7.280      7.185         1.02559
     2      6.941      6.839         1.89758
     3      3.989      3.934         1.02657
     4      3.847      3.782         1.01264
     5      3.701      3.642         1.14556
     6      3.543      3.470         1.06421
     7      2.575      2.500         1.00000
     8      1.827      1.632         1.99806
     9      1.626      1.468         1.20193
    10      0.912      0.846         5.90036
